period,omit_geo,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate,identity_D_sum_error,influence__D1_b_minus_a,influence__D2_c_minus_b,influence__D3_f_minus_c,influence__D_TOTAL_f_minus_a,influence__I1_construct_x_climate,influence__I2_scope_x_climate
EARLY_2010_2016,AT,-0.24525400868030425,0.24444444444444444,0.44068376068376064,-0.19907647566518422,0.4974358974358974,0.6861538461538461,0.4896984531247487,0.1962393162393162,0.24547008547008548,0.9314078548341503,0.20681391997633292,-0.007521367521367478,1.1102230246251565e-16,-0.02378858342967305,-0.011868131868131876,0.004224664224664276,-0.03143205107314062,0.012953152711012161,0.00874236874236875
EARLY_2010_2016,BE,-0.25512997388060116,0.2451282051282051,0.4502564102564102,-0.18980849263235072,0.49333333333333323,0.6847863247863248,0.5002581790088063,0.20512820512820512,0.23452991452991462,0.939916298666926,0.18288364695687764,-0.013675213675213516,0.0,-0.034348309313730674,-0.020757020757020794,0.015164835164835133,-0.039940494905916335,0.036883425730467434,0.014896214896214788
EARLY_2010_2016,BG,-0.191518479052462,0.18905982905982904,0.37982905982905973,-0.1641586963306817,0.48376068376068376,0.6738461538461538,0.38057830811229104,0.1907692307692307,0.294017094017094,0.8653646328986158,0.26734107197907436,-0.0006837606837606924,0.0,0.0853315615827846,-0.006398046398046364,-0.044322344322344276,0.03461117086239396,-0.047573999291729285,0.0019047619047619646
EARLY_2010_2016,HR,-0.2254147722738082,0.2321367521367521,0.42769230769230765,-0.1867624668611522,0.4981196581196581,0.6861538461538461,0.45755152441056035,0.19555555555555554,0.25846153846153846,0.9115686184276544,0.2273306005702499,-0.007521367521367506,0.0,0.00835834528451529,-0.011184371184371211,-0.008766788766788713,-0.011592814666644635,-0.007563527882904819,0.008742368742368778
EARLY_2010_2016,CY,-0.2083119822682082,0.24991452991452992,0.45094017094017086,-0.16726528625476816,0.4605128205128205,0.6581196581196581,0.45822651218273813,0.20102564102564094,0.20717948717948725,0.8664316403878664,0.16955159458485058,-0.0034188034188033234,-1.1102230246251565e-16,0.0076833575123375075,-0.016654456654456612,0.0425152625152625,0.033544163373143365,0.05021547810249449,0.0046398046398045956
EARLY_2010_2016,CZ,-0.22435021831859833,0.2376068376068376,0.42905982905982903,-0.18604652250810594,0.4981196581196581,0.6929914529914529,0.4619570559254359,0.19145299145299144,0.2639316239316239,0.9173416713100513,0.22220912470232812,0.0034188034188034067,0.0,0.00395281376963974,-0.007081807081807112,-0.014236874236874142,-0.01736586754904157,-0.0024420520149830427,-0.0021978021978021345
EARLY_2010_2016,DK,-0.22883533027492825,0.3203418803418803,0.5056410256410256,-0.18642041106104018,0.5042735042735041,0.6916239316239315,0.5491772106168086,0.18529914529914532,0.1859829059829059,0.9204592618988598,0.1415167047177358,0.0020512820512820773,0.0,-0.08326734092173294,-0.0009279609279609913,0.06371184371184385,-0.02048345813785013,0.07825036796960927,-0.0008302808302808051
EARLY_2010_2016,EE,-0.25483157108344023,0.22940170940170937,0.42222222222222217,-0.28424836989307234,0.4974358974358974,0.7046153846153845,0.4842332804851496,0.1928205128205128,0.28239316239316237,0.9594469556988248,0.2974509868438201,0.014358974358974347,0.0,-0.018323410790073935,-0.00844932844932847,-0.032698412698412616,-0.05947115193781505,-0.07768391415647502,-0.013137973137973075
EARLY_2010_2016,FI,-0.12416625544065613,0.23829059829059826,0.4167521367521367,-0.12485036704088012,0.47350427350427343,0.6663247863247863,0.36245685373125436,0.17846153846153842,0.24957264957264963,0.7904910417654425,0.23589778681389917,0.014358974358974458,0.0,0.10345301596382128,0.005909645909645905,0.00012210012210012167,0.10948476199556723,-0.01613071412655409,-0.013137973137973186
EARLY_2010_2016,FR,-0.24833251088131225,0.2451282051282051,0.44136752136752133,-0.18402602046025618,0.49196581196581196,0.6861538461538461,0.49346071600951735,0.19623931623931623,0.24478632478632478,0.9344863570351584,0.18253111641655073,-0.0020512820512820773,0.0,-0.027550846314441713,-0.011868131868131904,0.004908424908424969,-0.03451055327414865,0.037235956270794346,0.0032722832722833495
EARLY_2010_2016,DE,-0.22609888387403224,0.23692307692307688,0.43384615384615377,-0.1915512480627202,0.49606837606837606,0.6970940170940171,0.4630219607971091,0.1969230769230769,0.2632478632478633,0.9231929009680493,0.22459766333398712,0.004102564102564127,0.0,0.002887908897966529,-0.012551892551892568,-0.01355311355311356,-0.023217097207039572,-0.004830590646642041,-0.0028815628815628547
