period,analysis_label,geo,spec,estimator,cmur_mode,years,n_years,CMUR,DMC,RMC,TERR,CFOOT
EARLY_2010_2016,common_log_CMUR,LT,primary_common_pc,OLS,log,2010-2016,7,0.026024187874734147,-0.03576842385780816,-0.04220057377437952,-0.003312854973053172,0.029892523040289772
EARLY_2010_2016,common_log_CMUR,LU,primary_common_pc,OLS,log,2010-2016,7,-0.19615646159514408,-0.014239688054598553,0.024418478000517874,0.056357161101869425,0.031135943512770544
EARLY_2010_2016,common_log_CMUR,MT,primary_common_pc,OLS,log,2010-2016,7,-0.005663844112094238,-0.10025895046115096,0.009358696086821001,0.09948097380929997,0.0683390152292528
EARLY_2010_2016,common_log_CMUR,NL,primary_common_pc,OLS,log,2010-2016,7,0.02845464643485401,0.03609856074169184,0.023578420537771292,0.018022596089703375,0.02128099055195358
EARLY_2010_2016,common_log_CMUR,PL,primary_common_pc,OLS,log,2010-2016,7,0.017872792312335937,0.014694392315898225,0.01685012333949882,0.008492308851858083,0.02106501420115823
EARLY_2010_2016,common_log_CMUR,PT,primary_common_pc,OLS,log,2010-2016,7,0.03549631965894748,0.03615330713510629,0.03204961533342028,0.002515969886769573,0.032724045014188324
EARLY_2010_2016,common_log_CMUR,RO,primary_common_pc,OLS,log,2010-2016,7,-0.11254654336505539,-0.06917792840088954,-0.06661143185810481,0.015275889045340054,0.019175245784382542
EARLY_2010_2016,common_log_CMUR,SK,primary_common_pc,OLS,log,2010-2016,7,0.01513337513178536,0.011024758842726103,-0.010120902006588241,0.02138609451357539,0.025105441502097953
EARLY_2010_2016,common_log_CMUR,SI,primary_common_pc,OLS,log,2010-2016,7,0.0468463003714729,0.02827505911034018,0.025422955902257554,0.028466907876836006,0.03871342149675815
EARLY_2010_2016,common_log_CMUR,ES,primary_common_pc,OLS,log,2010-2016,7,-0.05120294806113506,0.060106653067576676,0.05720734977669254,0.018271512141259317,0.03401795239375433
EARLY_2010_2016,common_log_CMUR,SE,primary_common_pc,OLS,log,2010-2016,7,-0.02241415889113173,-0.007141775523030207,-0.007824843181531848,0.03951382419023728,0.03349140698369337
EARLY_2010_2016,Theil_Sen,AT,primary_common_pc,THEIL_SEN,pp,2010-2016,7,1.0,0.012048682441333058,0.00923926701116642,0.019371951951358213,0.02659617764852107
EARLY_2010_2016,Theil_Sen,BE,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.72,0.012379770229398845,-0.002728252397544484,0.016957787676663116,0.028474699091331157
EARLY_2010_2016,Theil_Sen,BG,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.35,-0.037304218969411496,-0.030593628430820363,-0.006874531693665253,0.01184300733341448
EARLY_2010_2016,Theil_Sen,HR,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.5499999999999999,0.005766807596571999,0.0017717248849822287,0.01996270506725577,0.02860957715551904
EARLY_2010_2016,Theil_Sen,CY,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.09999999999999998,0.10998115047570725,0.10727009011474191,0.018338742691431948,0.05267578681738083
EARLY_2010_2016,Theil_Sen,CZ,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.3666666666666667,0.004359025610459237,-0.0038959590862273075,0.022131777417113696,0.023776970536724118
EARLY_2010_2016,Theil_Sen,DK,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.15999999999999998,-0.01070828240101207,-0.02756724300388269,0.04512895347770144,0.02441479977681264
EARLY_2010_2016,Theil_Sen,EE,primary_common_pc,THEIL_SEN,pp,2010-2016,7,0.09999999999999964,-0.005623885846924637,-0.004056695006308342,0.014008859714321175,-0.014165266989448977
