a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,D1_b_minus_a,D2_c_minus_b,D3_f_minus_c,D_TOTAL_f_minus_a,I1_construct_x_climate,I2_scope_x_climate,identity_D_sum_error,period,omit_year,n_years
-0.37484737484737485,0.06166056166056166,0.3766788766788767,-0.1221001221001221,0.2576312576312576,0.5024420024420024,0.4365079365079365,0.315018315018315,0.12576312576312576,0.8772893772893773,-0.0567765567765568,-0.07020757020757018,0.0,EARLY_2010_2016,2010,6
-0.1957251999638811,0.23015873015873015,0.4126984126984126,-0.1841221459878632,0.47191697191697196,0.6721611721611721,0.4258839301226113,0.18253968253968247,0.2594627594627595,0.8678863721250532,0.23015518778222388,0.01770451770451767,0.0,EARLY_2010_2016,2011,6
-0.21157075502182476,0.24542124542124538,0.4218559218559218,-0.21340253645058516,0.5158730158730158,0.6788766788766789,0.45699200044307015,0.17643467643467642,0.2570207570207571,0.8904474338985037,0.2722835518805308,-0.013431013431013328,0.0,EARLY_2010_2016,2012,6
-0.21377311755832354,0.25213675213675213,0.43650793650793646,-0.1850664417719201,0.5006105006105006,0.6862026862026862,0.46590986969507564,0.18437118437118433,0.24969474969474975,0.8999758037610097,0.21976707268734508,0.0012210012210012722,0.0,EARLY_2010_2016,2013,6
-0.29242979242979245,0.221001221001221,0.39438339438339437,-0.22466422466422467,0.45848595848595847,0.6385836385836385,0.5134310134310134,0.17338217338217338,0.24420024420024417,0.931013431013431,0.16971916971916978,0.006715506715506692,0.0,EARLY_2010_2016,2014,6
-0.26347122883670243,0.28083028083028083,0.49145299145299143,-0.2488169774066193,0.5189255189255189,0.6923076923076923,0.5443015096669832,0.2106227106227106,0.20085470085470086,0.9557789211443948,0.223440986665155,-0.037240537240537164,-2.220446049250313e-16,EARLY_2010_2016,2015,6
-0.0927960927960928,0.25274725274725274,0.3559218559218559,-0.0873015873015873,0.5866910866910867,0.6178266178266179,0.34554334554334554,0.10317460317460314,0.261904761904762,0.7106227106227107,0.3284493284493285,-0.072039072039072,0.0,EARLY_2010_2016,2016,6
-0.01465201465201465,0.44749694749694746,0.4432234432234432,0.0231990231990232,0.36996336996337,0.4255189255189255,0.4621489621489621,-0.004273504273504258,-0.017704517704517697,0.44017094017094016,-0.11538461538461536,0.05982905982905978,0.0,LATE_2017_2023,2017,6
0.12461822728344102,0.6514041514041513,0.4029304029304029,0.16249239439899663,0.5598290598290598,0.44078144078144077,0.5267859241207102,-0.24847374847374842,0.03785103785103788,0.31616321349799975,-0.12944925869064705,0.12942612942612935,-5.551115123125783e-17,LATE_2017_2023,2018,6
0.08608058608058607,0.6221001221001221,0.4487179487179487,0.08669108669108669,0.5085470085470085,0.47863247863247865,0.536019536019536,-0.17338217338217343,0.029914529914529975,0.3925518925518926,-0.1141636141636142,0.14346764346764357,-5.551115123125783e-17,LATE_2017_2023,2019,6
0.09401709401709402,0.6001221001221001,0.4206349206349206,0.0879120879120879,0.4603174603174603,0.427960927960928,0.5061050061050061,-0.17948717948717952,0.007326007326007411,0.333943833943834,-0.13369963369963367,0.14713064713064722,0.0,LATE_2017_2023,2020,6
0.07753357753357752,0.5964590964590964,0.4255189255189255,0.08363858363858362,0.45604395604395603,0.4255189255189255,0.518925518925519,-0.17094017094017094,0.0,0.34798534798534797,-0.14652014652014655,0.14041514041514042,5.551115123125783e-17,LATE_2017_2023,2021,6
0.017704517704517704,0.6727716727716728,0.43650793650793646,0.0231990231990232,0.5714285714285714,0.43528693528693524,0.6550671550671551,-0.23626373626373637,-0.0012210012210012167,0.41758241758241754,-0.1068376068376069,0.10012210012210021,-5.551115123125783e-17,LATE_2017_2023,2022,6
0.2192366514416016,0.5543345543345543,0.39438339438339437,0.18931298592450277,0.409035409035409,0.4126984126984126,0.33509790289295266,-0.15995115995115988,0.01831501831501825,0.19346176125681103,-0.1153754797820464,0.16361416361416348,0.0,LATE_2017_2023,2023,6
