block_length,representation,geo,rank_median,rank_diagnostic_q025,rank_diagnostic_q975
3,RMC,SE,12.0,5.0,18.0
3,TERR,AT,16.0,15.0,18.0
3,TERR,BE,12.0,9.0,15.0
3,TERR,BG,23.0,20.0,27.0
3,TERR,HR,27.0,22.0,27.0
3,TERR,CY,20.0,18.0,22.0
3,TERR,CZ,15.0,12.0,16.0
3,TERR,DK,5.0,4.0,5.0
3,TERR,EE,2.0,1.0,6.0
3,TERR,FI,4.0,3.0,5.0
3,TERR,FR,10.0,9.0,12.0
3,TERR,DE,9.0,7.0,14.0
3,TERR,EL,7.0,6.0,8.0
3,TERR,HU,24.0,21.0,27.0
3,TERR,IE,19.0,16.0,20.0
3,TERR,IT,14.0,8.0,19.0
3,TERR,LV,26.0,24.0,27.0
3,TERR,LT,25.0,22.0,27.0
3,TERR,LU,2.0,1.0,3.0
3,TERR,MT,1.0,1.0,8.0
3,TERR,NL,8.0,5.0,10.0
3,TERR,PL,23.0,22.0,25.0
3,TERR,PT,16.0,10.0,21.0
3,TERR,RO,21.0,20.0,23.0
3,TERR,SK,18.0,16.0,19.0
3,TERR,SI,13.0,9.0,16.0
3,TERR,ES,12.0,10.0,15.0
3,TERR,SE,6.0,5.0,8.0
3,CFOOT,AT,14.0,11.0,18.0
3,CFOOT,BE,9.0,6.0,11.0
3,CFOOT,BG,24.0,23.0,26.0
3,CFOOT,HR,26.0,23.0,27.0
3,CFOOT,CY,14.0,6.0,21.0
3,CFOOT,CZ,16.0,13.0,19.0
3,CFOOT,DK,10.0,6.0,13.0
3,CFOOT,EE,6.0,1.0,21.0
3,CFOOT,FI,4.0,1.0,5.0
3,CFOOT,FR,7.0,6.0,11.0
3,CFOOT,DE,9.0,6.0,15.0
3,CFOOT,EL,5.0,2.0,8.0
3,CFOOT,HU,24.0,22.0,25.0
3,CFOOT,IE,25.0,18.0,27.0
3,CFOOT,IT,12.0,6.0,16.0
3,CFOOT,LV,22.0,19.0,24.0
3,CFOOT,LT,18.0,14.0,19.0
3,CFOOT,LU,2.0,1.0,4.0
3,CFOOT,MT,5.0,1.0,18.0
3,CFOOT,NL,11.0,5.0,16.0
3,CFOOT,PL,20.0,19.0,21.0
3,CFOOT,PT,13.0,8.0,19.0
3,CFOOT,RO,26.0,25.0,27.0
3,CFOOT,SK,21.0,19.0,23.0
3,CFOOT,SI,16.0,11.0,19.0
3,CFOOT,ES,16.0,10.0,19.0
3,CFOOT,SE,2.0,1.0,4.0
