geo,representation,primary_progress_score,point_sign,current_rank,loyo_preserve_sign_n,loyo_reverse_sign_n,loyo_min_slope,loyo_max_slope,sign_stable_all_14
EL,RMC,0.032726316225762594,POSITIVE_FAVORABLE,1.0,14,0,0.028409796183786754,0.03451585945929699,True
EL,TERR,0.03282293130674446,POSITIVE_FAVORABLE,7.0,14,0,0.031495975151164084,0.033678458323716375,True
EL,CFOOT,0.028654475040789777,POSITIVE_FAVORABLE,4.0,14,0,0.024977412078033206,0.032293457415598234,True
HU,CMUR,0.009450549450549333,POSITIVE_FAVORABLE,20.0,11,3,-0.027472527472527455,0.037726913970001115,False
HU,DMC,-0.035237127681311244,NONPOSITIVE_NONFAVORABLE,25.0,14,0,-0.0416922402567447,-0.030511530651296637,True
HU,RMC,-0.049189885124444686,NONPOSITIVE_NONFAVORABLE,26.0,14,0,-0.05412814848940109,-0.04359847509232496,True
HU,TERR,0.001982820024063667,POSITIVE_FAVORABLE,24.0,13,1,-0.0021739583890655004,0.0032768045698389403,False
HU,CFOOT,-0.005111004790201155,NONPOSITIVE_NONFAVORABLE,23.0,14,0,-0.009003916497315648,-0.0015991156386046257,True
IE,CMUR,-0.0021978021978021735,NONPOSITIVE_NONFAVORABLE,21.0,11,3,-0.00714285714285719,0.00394632991318302,False
IE,DMC,-0.00907552342029399,NONPOSITIVE_NONFAVORABLE,20.0,14,0,-0.013267613286867928,-0.007378276485946603,True
IE,RMC,-0.019493964194886745,NONPOSITIVE_NONFAVORABLE,22.0,14,0,-0.022286341921686104,-0.01709781538515889,True
IE,TERR,0.013717663197131852,POSITIVE_FAVORABLE,19.0,14,0,0.010632807271803726,0.015145795173704527,True
IE,CFOOT,-0.009143064281672813,NONPOSITIVE_NONFAVORABLE,25.0,14,0,-0.014288127652911705,-0.005424884522376045,True
IT,CMUR,0.7171428571428574,POSITIVE_FAVORABLE,2.0,14,0,0.67138910812946,0.7382399368587018,True
IT,DMC,0.020036863692319093,POSITIVE_FAVORABLE,3.0,14,0,0.014754634816688206,0.02307256059091262,True
IT,RMC,0.020939667594287514,POSITIVE_FAVORABLE,3.0,14,0,0.016699834757750682,0.02434410202452413,True
IT,TERR,0.020146935299358293,POSITIVE_FAVORABLE,14.0,14,0,0.018200520573101304,0.02190914363037016,True
IT,CFOOT,0.017881971303197304,POSITIVE_FAVORABLE,12.0,14,0,0.013828486593897753,0.021590188272942946,True
LV,CMUR,0.2523076923076923,POSITIVE_FAVORABLE,12.0,14,0,0.19120879120879128,0.29838200473559073,True
LV,DMC,-0.03295908842362552,NONPOSITIVE_NONFAVORABLE,24.0,14,0,-0.03953319802293966,-0.028970827567480283,True
LV,RMC,-0.02427262672451054,NONPOSITIVE_NONFAVORABLE,23.0,14,0,-0.03237307243562864,-0.01679517450615178,True
LV,TERR,-0.001000725166579366,NONPOSITIVE_NONFAVORABLE,26.0,14,0,-0.0027211306053849835,-0.0003676174281432261,True
LV,CFOOT,0.0012409120117897743,POSITIVE_FAVORABLE,22.0,12,2,-0.0012579520564516948,0.0032232999923626033,False
LT,CMUR,0.03824175824175825,POSITIVE_FAVORABLE,19.0,14,0,0.025269203158663284,0.045054945054945054,True
LT,DMC,-0.04005448658649761,NONPOSITIVE_NONFAVORABLE,26.0,14,0,-0.04266102032551308,-0.03825351295149064,True
LT,RMC,-0.03206167335134374,NONPOSITIVE_NONFAVORABLE,24.0,14,0,-0.03611369558714138,-0.028693472293176307,True
LT,TERR,0.0004127644641794247,POSITIVE_FAVORABLE,25.0,11,3,-0.0025627357002516787,0.0018553745148537774,False
LT,CFOOT,0.010818829262128755,POSITIVE_FAVORABLE,19.0,14,0,0.00834252062195051,0.01407167968423653,True
LU,CMUR,-0.8375824175824175,NONPOSITIVE_NONFAVORABLE,27.0,14,0,-0.9625887924230611,-0.6274725274725276,True
