geo,representation,ols_progress_score,theil_sen_progress_score,ols_sign,theil_sen_sign,sign_changed_ols_to_theil_sen
AT,CMUR,0.46197802197802196,0.4750000000000001,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
AT,DMC,0.007097422628061973,0.005761144830351039,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
AT,RMC,0.008482036489129513,0.01051229708022554,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
AT,TERR,0.017199226731731323,0.0173002448871523,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
AT,CFOOT,0.013970808105932809,0.015614656539303606,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BE,CMUR,0.5338461538461537,0.5500000000000002,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BE,DMC,0.009791138573222192,0.010757571516988232,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BE,RMC,0.01779476480303852,0.016789787027979397,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BE,TERR,0.021827852211564462,0.020991977944609424,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BE,CFOOT,0.020355282913145718,0.0208536396343475,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BG,CMUR,0.21692307692307694,0.2250000000000001,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BG,DMC,-0.02838778476378616,-0.030149547978922515,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
BG,RMC,-0.04163009282047235,-0.04389924484950649,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
BG,TERR,0.003256955452647446,0.0005003975827383803,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
BG,CFOOT,-0.007095706980591583,-0.0047468498552219185,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
HR,CMUR,0.32131868131868124,0.3,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
HR,DMC,-0.016979127565245663,-0.020883900242398168,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
HR,RMC,-0.014983230303764762,-0.014784268057982417,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
HR,TERR,-0.0016257853532977429,-0.0039954749844342,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
HR,CFOOT,-0.011419157556648532,-0.013937127231674173,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
CY,CMUR,0.36219780219780223,0.25,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
CY,DMC,0.008994708226666601,-0.0035248796220022083,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,True
CY,RMC,0.009800759612685613,-0.007270020366898766,POSITIVE_FAVORABLE,NONPOSITIVE_NONFAVORABLE,True
CY,TERR,0.009945842711918132,0.011202205157988013,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
CY,CFOOT,0.013784432690238315,0.0099943513471078,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
CZ,CMUR,0.6156043956043957,0.6166666666666666,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
CZ,DMC,0.0037621111515538856,0.0014176133888792464,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
CZ,RMC,-0.001964523688753296,-0.0027936393301055684,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
CZ,TERR,0.01954572533650481,0.01899903854092866,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
CZ,CFOOT,0.01270818929067596,0.012945045669146449,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
DK,CMUR,0.10725274725274722,0.10000000000000053,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
DK,DMC,-0.006219357714132084,-0.007149088190237051,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
DK,RMC,-0.014468595974970036,-0.011328388043222079,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
DK,TERR,0.03879163332152253,0.03910302444401986,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
DK,CFOOT,0.01957718138190298,0.019208217834763616,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
EE,CMUR,0.6035164835164833,0.6888888888888888,POSITIVE_FAVORABLE,POSITIVE_FAVORABLE,False
EE,DMC,-0.0010253949316058363,-0.001107305576218702,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
EE,RMC,-0.0033610115355585304,-0.004080596534075165,NONPOSITIVE_NONFAVORABLE,NONPOSITIVE_NONFAVORABLE,False
