deletion_type,deletion_id,n_countries,n_years,a_CMUR_TERR,b_DMC_TERR,c_RMC_TERR,d_CMUR_CFOOT,e_DMC_CFOOT,f_RMC_CFOOT,cell_metric,full_grid_range_metric,selected_endpoint_metric,full_grid_minimum,full_grid_minimum_cell_key,full_grid_minimum_cell_label,full_grid_maximum,full_grid_maximum_cell_key,full_grid_maximum_cell_label,full_grid_range,selected_endpoint_cell_difference,dmc_minus_cmur_territorial,dmc_minus_cmur_consumption,rmc_minus_dmc_territorial,rmc_minus_dmc_consumption,rmc_minus_cmur_territorial,rmc_minus_cmur_consumption,consumption_minus_territorial_cmur,consumption_minus_territorial_dmc,consumption_minus_territorial_rmc
LOCO,FR,26,14,0.13299145299145299,0.4133333333333333,0.5521367521367521,0.14324786324786323,0.4803418803418803,0.6984615384615384,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.13299145299145299,a_CMUR_TERR,CMUR × territorial,0.6984615384615384,f_RMC_CFOOT,RMC × consumption,0.5654700854700854,0.5654700854700854,0.2803418803418803,0.3370940170940171,0.1388034188034188,0.21811965811965806,0.4191452991452991,0.5552136752136752,0.010256410256410248,0.06700854700854703,0.1463247863247863
LOCO,DE,26,14,0.10427350427350426,0.4044444444444444,0.5582905982905982,0.09538461538461539,0.47076923076923066,0.7059829059829059,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.09538461538461539,d_CMUR_CFOOT,CMUR × consumption,0.7059829059829059,f_RMC_CFOOT,RMC × consumption,0.6105982905982905,0.6017094017094017,0.30017094017094015,0.37538461538461526,0.15384615384615385,0.23521367521367526,0.454017094017094,0.6105982905982905,-0.008888888888888877,0.06632478632478628,0.14769230769230768
LOCO,EL,26,14,0.08512820512820513,0.401025641025641,0.5275213675213675,0.08376068376068375,0.43863247863247856,0.6629059829059828,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.08376068376068375,d_CMUR_CFOOT,CMUR × consumption,0.6629059829059828,f_RMC_CFOOT,RMC × consumption,0.579145299145299,0.5777777777777777,0.31589743589743585,0.3548717948717948,0.1264957264957265,0.22427350427350423,0.44239316239316234,0.579145299145299,-0.001367521367521371,0.037606837606837584,0.13538461538461533
LOCO,HU,26,14,0.06324786324786325,0.3442735042735042,0.49196581196581196,0.04478632478632478,0.42085470085470084,0.6574358974358974,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.04478632478632478,d_CMUR_CFOOT,CMUR × consumption,0.6574358974358974,f_RMC_CFOOT,RMC × consumption,0.6126495726495725,0.5941880341880341,0.281025641025641,0.37606837606837606,0.14769230769230773,0.23658119658119653,0.4287179487179487,0.6126495726495725,-0.018461538461538467,0.07658119658119661,0.1654700854700854
LOCO,IE,26,14,0.07076923076923076,0.3627350427350427,0.5022222222222221,0.039999999999999994,0.43384615384615377,0.6622222222222223,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.039999999999999994,d_CMUR_CFOOT,CMUR × consumption,0.6622222222222223,f_RMC_CFOOT,RMC × consumption,0.6222222222222222,0.5914529914529915,0.29196581196581195,0.3938461538461538,0.13948717948717942,0.2283760683760685,0.4314529914529914,0.6222222222222222,-0.03076923076923077,0.07111111111111107,0.16000000000000014
LOCO,IT,26,14,0.09606837606837607,0.41743589743589743,0.5521367521367521,0.06666666666666665,0.4803418803418803,0.7107692307692307,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.06666666666666665,d_CMUR_CFOOT,CMUR × consumption,0.7107692307692307,f_RMC_CFOOT,RMC × consumption,0.6441025641025641,0.6147008547008547,0.32136752136752134,0.41367521367521365,0.13470085470085463,0.2304273504273504,0.456068376068376,0.6441025641025641,-0.029401709401709414,0.06290598290598287,0.15863247863247865
LOCO,LV,26,14,0.11658119658119658,0.3449572649572649,0.4926495726495726,0.0864957264957265,0.42085470085470084,0.6588034188034186,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.0864957264957265,d_CMUR_CFOOT,CMUR × consumption,0.6588034188034186,f_RMC_CFOOT,RMC × consumption,0.5723076923076922,0.542222222222222,0.22837606837606833,0.3343589743589743,0.14769230769230768,0.2379487179487178,0.376068376068376,0.5723076923076922,-0.03008547008547008,0.07589743589743592,0.16615384615384604
LOCO,LT,26,14,0.06324786324786325,0.3442735042735042,0.4926495726495726,0.055726495726495726,0.4393162393162393,0.6676923076923077,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.055726495726495726,d_CMUR_CFOOT,CMUR × consumption,0.6676923076923077,f_RMC_CFOOT,RMC × consumption,0.611965811965812,0.6044444444444445,0.281025641025641,0.38358974358974357,0.14837606837606837,0.2283760683760684,0.42940170940170935,0.611965811965812,-0.00752136752136752,0.09504273504273508,0.1750427350427351
LOCO,LU,26,14,0.18974358974358974,0.4618803418803418,0.5049572649572649,0.20615384615384613,0.530940170940171,0.6594871794871794,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,0.18974358974358974,a_CMUR_TERR,CMUR × territorial,0.6594871794871794,f_RMC_CFOOT,RMC × consumption,0.46974358974358965,0.46974358974358965,0.2721367521367521,0.32478632478632485,0.04307692307692307,0.1285470085470084,0.31521367521367516,0.45333333333333325,0.016410256410256396,0.06905982905982916,0.1545299145299145
LOCO,MT,26,14,-0.016752136752136753,0.4974358974358974,0.5829059829059828,0.025641025641025637,0.545982905982906,0.7162393162393161,Spearman rho,Difference in Spearman rho,Difference in Spearman rho,-0.016752136752136753,a_CMUR_TERR,CMUR × territorial,0.7162393162393161,f_RMC_CFOOT,RMC × consumption,0.7329914529914529,0.7329914529914529,0.5141880341880342,0.5203418803418803,0.08547008547008544,0.17025641025641014,0.5996581196581195,0.6905982905982905,0.04239316239316239,0.04854700854700861,0.1333333333333333
