block_length,comparison_key,geo,rank_displacement_median,rank_displacement_diagnostic_q025,rank_displacement_diagnostic_q975,mean_abs_rank_displacement_across_bootstrap
3,DMC_to_RMC,SK,9.0,2.0,15.0,8.9812
3,DMC_to_RMC,SI,-2.0,-7.0,1.0,2.4121
3,DMC_to_RMC,ES,1.0,-2.0,3.0,1.009
3,DMC_to_RMC,SE,-6.0,-10.0,-1.0,5.9932
3,TERR_to_CFOOT,AT,-2.0,-5.0,2.0,2.2914
3,TERR_to_CFOOT,BE,-4.0,-7.0,0.0,3.5783
3,TERR_to_CFOOT,BG,1.0,-2.0,4.0,1.521
3,TERR_to_CFOOT,HR,0.0,-2.0,2.0,0.7257
3,TERR_to_CFOOT,CY,-6.0,-13.0,0.0,5.5767
3,TERR_to_CFOOT,CZ,2.0,-1.0,4.0,1.6745
3,TERR_to_CFOOT,DK,5.0,2.0,8.0,4.9842
3,TERR_to_CFOOT,EE,4.0,0.0,16.0,6.2893
3,TERR_to_CFOOT,FI,0.0,-2.0,2.0,0.899
3,TERR_to_CFOOT,FR,-3.0,-5.0,0.0,2.6307
3,TERR_to_CFOOT,DE,0.0,-3.0,4.0,1.4464
3,TERR_to_CFOOT,EL,-3.0,-5.0,0.0,2.6593
3,TERR_to_CFOOT,HU,0.0,-3.0,3.0,1.3107
3,TERR_to_CFOOT,IE,6.0,0.0,9.0,5.9959
3,TERR_to_CFOOT,IT,-3.0,-6.0,0.0,3.0716
3,TERR_to_CFOOT,LV,-4.0,-7.0,-1.0,4.1483
3,TERR_to_CFOOT,LT,-7.0,-11.0,-4.0,7.3075
3,TERR_to_CFOOT,LU,0.0,-2.0,2.0,0.9205
3,TERR_to_CFOOT,MT,3.0,0.0,10.0,3.2373
3,TERR_to_CFOOT,NL,3.0,-1.0,7.0,2.8449
3,TERR_to_CFOOT,PL,-3.0,-4.0,-1.0,2.7102
3,TERR_to_CFOOT,PT,-2.0,-8.0,2.0,2.4585
3,TERR_to_CFOOT,RO,5.0,3.0,7.0,5.0864
3,TERR_to_CFOOT,SK,4.0,2.0,5.0,3.5896
3,TERR_to_CFOOT,SI,3.0,0.0,6.0,3.213
3,TERR_to_CFOOT,ES,4.0,-2.0,6.0,3.4309
3,TERR_to_CFOOT,SE,-5.0,-7.0,-1.0,4.4576
