geo,representation,n_years,k_parameters,df_resid,slope,conventional_se,conventional_interval_low,conventional_interval_high,conventional_excludes_zero,hc3_se,hc3_interval_low,hc3_interval_high,hc3_excludes_zero,hac_lag1_se,hac_lag1_interval_low,hac_lag1_interval_high,hac_lag1_excludes_zero,hac_lag2_se,hac_lag2_interval_low,hac_lag2_interval_high,hac_lag2_excludes_zero,in_any_point_slope_sign_disagreement,implementation
AT,CMUR,14,2,12.0,0.46197802197802174,0.06732644576897899,0.31528629816067544,0.608669745795368,True,0.07163654341991384,0.30589540210169996,0.6180606418543435,True,0.07545144266317666,0.29758345068659114,0.6263725932694524,True,0.07901835323459833,0.28981182017130197,0.6341442237847414,True,False,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FI,RMC,14,2,12.0,0.009345462115101844,0.004112264744242951,0.0003856069313570784,0.01830531729884661,True,0.00507447031124517,-0.0017108589028045854,0.02040178313300827,False,0.0037565863221181287,0.0011605636407184365,0.01753036058948525,True,0.0035742134211565273,0.001557920057117205,0.017133004173086483,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FI,TERR,14,2,12.0,0.040334296775252465,0.0030118510911179078,0.03377203697687753,0.0468965565736274,True,0.0038777230746964582,0.03188546399020717,0.04878312956029776,True,0.0031994466681349904,0.03336330132688388,0.04730529222362105,True,0.002892116726601439,0.03403291574643806,0.04663567780406687,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FI,CFOOT,14,2,12.0,0.03209816386871529,0.0036972660570519333,0.024042513148917373,0.04015381458851321,True,0.004431490373304489,0.02244277578881266,0.04175355194861793,True,0.003463715094817124,0.024551376981815705,0.03964495075561488,True,0.0030232280583729824,0.025511115788122294,0.038685211949308296,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FR,CMUR,14,2,12.0,-0.11714285714285777,0.09417131476930425,-0.32232452594884886,0.08803881166313329,False,0.07361024833714963,-0.27752581061483017,0.0432400963291146,False,0.0844655965216726,-0.30117758250977367,0.0668918682240581,False,0.09106668407277545,-0.31556011675587314,0.08127440247015763,False,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FR,DMC,14,2,12.0,0.007869524443668285,0.0023655350307347374,0.0027154663696761783,0.013023582517660393,True,0.001896623444290504,0.003737136950200487,0.012001911937136085,True,0.001201034086606841,0.0052526959669016385,0.010486352920434932,True,0.0012101782016461693,0.005232772651737997,0.010506276235598574,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FR,RMC,14,2,12.0,0.007787615803104303,0.0027955318251225883,0.0016966751967841644,0.013878556409424442,True,0.0030247674839885617,0.0011972136022297616,0.014378018003978844,True,0.0022274778049925993,0.0029343585837874305,0.012640873022421176,True,0.001900003027742651,0.003647864829852036,0.011927366776356571,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FR,TERR,14,2,12.0,0.024160552180304176,0.0020251989390052275,0.019748022749371128,0.028573081611237224,True,0.0022614711898914165,0.019233229737845945,0.029087874622762407,True,0.0016619233217072286,0.02053953232504529,0.027781572035563064,True,0.0012955523749689291,0.021337786044216024,0.026983318316392328,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
FR,CFOOT,14,2,12.0,0.021069062886092962,0.0018983684787442334,0.01693287328916917,0.025205252483016756,True,0.0019581878779487767,0.016802538014719322,0.025335587757466603,True,0.0015986413337328062,0.017585922638119596,0.02455220313406633,True,0.0012231567808704445,0.01840403319923797,0.023734092572947955,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
DE,CMUR,14,2,12.0,0.2127472527472526,0.03143292574667293,0.14426079085642426,0.2812337146380809,True,0.05605720767725929,0.0906090894647198,0.3348854160297854,True,0.040569176184460314,0.12435461118752028,0.3011398943069849,True,0.03404064239217288,0.13857906437307219,0.28691544112143297,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
DE,DMC,14,2,12.0,0.015034131305450088,0.002788084006607302,0.008959418101664089,0.021108844509236085,True,0.004821393173884788,0.0045292180013199144,0.02553904460958026,True,0.003723962162758403,0.0069203147680367595,0.023147947842863417,True,0.003549262906786914,0.007300951748280759,0.022767310862619416,True,True,statsmodels OLS with intercept and centered calendar year; conventional t interval; HC3; HAC/Newey-West lag 1/2 with use_correction=True and use_t=True
