block_length,geo,representation,favorable_slope_bootstrap_frequency
3,FR,CFOOT,1.0
3,DE,CMUR,1.0
3,DE,DMC,1.0
3,DE,RMC,0.1841
3,DE,TERR,1.0
3,DE,CFOOT,1.0
3,EL,CMUR,1.0
3,EL,DMC,1.0
3,EL,RMC,1.0
3,EL,TERR,1.0
3,EL,CFOOT,1.0
3,HU,CMUR,0.5917
3,HU,DMC,0.0
3,HU,RMC,0.0
3,HU,TERR,0.6769
3,HU,CFOOT,0.1061
3,IE,CMUR,0.4097
3,IE,DMC,0.0107
3,IE,RMC,0.0
3,IE,TERR,1.0
3,IE,CFOOT,0.182
3,IT,CMUR,1.0
3,IT,DMC,0.9945
3,IT,RMC,1.0
3,IT,TERR,1.0
3,IT,CFOOT,1.0
3,LV,CMUR,0.9975
3,LV,DMC,0.0
3,LV,RMC,0.0002
3,LV,TERR,0.3271
3,LV,CFOOT,0.7571
3,LT,CMUR,0.9267
3,LT,DMC,0.0
3,LT,RMC,0.0
3,LT,TERR,0.5522
3,LT,CFOOT,0.9978
3,LU,CMUR,0.0003
3,LU,DMC,0.2062
3,LU,RMC,1.0
3,LU,TERR,1.0
3,LU,CFOOT,1.0
3,MT,CMUR,1.0
3,MT,DMC,0.0285
3,MT,RMC,0.4811
3,MT,TERR,1.0
3,MT,CFOOT,0.9995
3,NL,CMUR,1.0
3,NL,DMC,1.0
3,NL,RMC,0.7269
3,NL,TERR,1.0
3,NL,CFOOT,1.0
3,PL,CMUR,0.0
3,PL,DMC,0.3091
3,PL,RMC,0.5
3,PL,TERR,0.9518
3,PL,CFOOT,0.9748
3,PT,CMUR,1.0
3,PT,DMC,0.9081
3,PT,RMC,0.8486
3,PT,TERR,0.9998
3,PT,CFOOT,1.0
3,RO,CMUR,0.0
3,RO,DMC,0.0
3,RO,RMC,0.0
3,RO,TERR,1.0
3,RO,CFOOT,0.0044
3,SK,CMUR,1.0
3,SK,DMC,0.9814
3,SK,RMC,0.1206
3,SK,TERR,1.0
3,SK,CFOOT,0.7911
3,SI,CMUR,0.9888
3,SI,DMC,0.3243
3,SI,RMC,0.5493
3,SI,TERR,1.0
3,SI,CFOOT,0.9997
3,ES,CMUR,0.2006
3,ES,DMC,0.9244
3,ES,RMC,0.8663
3,ES,TERR,1.0
3,ES,CFOOT,1.0
3,SE,CMUR,0.9539
3,SE,DMC,0.0276
3,SE,RMC,0.8365
3,SE,TERR,1.0
3,SE,CFOOT,1.0
