panel,geo,material_progress_score,climate_progress_score,spearman_rho,pearson_r
CMUR_TERR,PL,-0.3639560439560396,0.0034588260030328,0.0921855921855921,0.1131205066675683
CMUR_TERR,PT,0.0881318681318673,0.0176268149170384,0.0921855921855921,0.1131205066675683
CMUR_TERR,RO,-0.1265934065934063,0.0066130043407562,0.0921855921855921,0.1131205066675683
CMUR_TERR,SE,0.2116483516483485,0.0342947218256849,0.0921855921855921,0.1131205066675683
CMUR_TERR,SI,0.1591208791208812,0.0211437657061086,0.0921855921855921,0.1131205066675683
CMUR_TERR,SK,0.5760439560439484,0.0155714202477186,0.0921855921855921,0.1131205066675683
DMC_TERR,AT,0.0070974226280618,0.0171992267317311,0.4065934065934066,0.4037170741783327
DMC_TERR,BE,0.0097911385732221,0.0218278522115642,0.4065934065934066,0.4037170741783327
DMC_TERR,BG,-0.0283877847637859,0.0032569554526474,0.4065934065934066,0.4037170741783327
DMC_TERR,CY,0.0089947082266671,0.0099458427119181,0.4065934065934066,0.4037170741783327
DMC_TERR,CZ,0.0037621111515539,0.0195457253365045,0.4065934065934066,0.4037170741783327
DMC_TERR,DE,0.0150341313054497,0.0261429770499786,0.4065934065934066,0.4037170741783327
DMC_TERR,DK,-0.0062193577141322,0.0387916333215222,0.4065934065934066,0.4037170741783327
DMC_TERR,EE,-0.0010253949316059,0.0525301814723976,0.4065934065934066,0.4037170741783327
DMC_TERR,EL,0.034654679128397,0.0328229313067442,0.4065934065934066,0.4037170741783327
DMC_TERR,ES,0.0121492409567357,0.0217245655545016,0.4065934065934066,0.4037170741783327
DMC_TERR,FI,0.0068607449762067,0.040334296775252,0.4065934065934066,0.4037170741783327
DMC_TERR,FR,0.0078695244436682,0.0241605521803039,0.4065934065934066,0.4037170741783327
DMC_TERR,HR,-0.0169791275652453,-0.0016257853532976,0.4065934065934066,0.4037170741783327
DMC_TERR,HU,-0.0352371276813108,0.0019828200240636,0.4065934065934066,0.4037170741783327
DMC_TERR,IE,-0.0090755234202937,0.0137176631971316,0.4065934065934066,0.4037170741783327
DMC_TERR,IT,0.0200368636923192,0.0201469352993582,0.4065934065934066,0.4037170741783327
DMC_TERR,LT,-0.0400544865864973,0.0004127644641793,0.4065934065934066,0.4037170741783327
DMC_TERR,LU,-0.0030602521826157,0.0500937266016787,0.4065934065934066,0.4037170741783327
DMC_TERR,LV,-0.0329590884236254,-0.0010007251665793,0.4065934065934066,0.4037170741783327
DMC_TERR,MT,-0.0238773746401567,0.054187613383168,0.4065934065934066,0.4037170741783327
DMC_TERR,NL,0.0260074103104685,0.0301399333684922,0.4065934065934066,0.4037170741783327
DMC_TERR,PL,-0.0019196544057532,0.0034588260030328,0.4065934065934066,0.4037170741783327
DMC_TERR,PT,0.0073852088233027,0.0176268149170384,0.4065934065934066,0.4037170741783327
DMC_TERR,RO,-0.0523047157103168,0.0066130043407562,0.4065934065934066,0.4037170741783327
DMC_TERR,SE,-0.0056763956738562,0.0342947218256849,0.4065934065934066,0.4037170741783327
DMC_TERR,SI,-0.0027274957799102,0.0211437657061086,0.4065934065934066,0.4037170741783327
DMC_TERR,SK,0.007831799070791,0.0155714202477186,0.4065934065934066,0.4037170741783327
RMC_TERR,AT,0.0084820364891293,0.0171992267317311,0.5366300366300365,0.5583054975767748
RMC_TERR,BE,0.0177947648030381,0.0218278522115642,0.5366300366300365,0.5583054975767748
RMC_TERR,BG,-0.041630092820472,0.0032569554526474,0.5366300366300365,0.5583054975767748
RMC_TERR,CY,0.0098007596126862,0.0099458427119181,0.5366300366300365,0.5583054975767748
RMC_TERR,CZ,-0.0019645236887531,0.0195457253365045,0.5366300366300365,0.5583054975767748
RMC_TERR,DE,-0.0019495145033434,0.0261429770499786,0.5366300366300365,0.5583054975767748
RMC_TERR,DK,-0.01446859597497,0.0387916333215222,0.5366300366300365,0.5583054975767748
RMC_TERR,EE,-0.0033610115355586,0.0525301814723976,0.5366300366300365,0.5583054975767748
RMC_TERR,EL,0.0327263162257625,0.0328229313067442,0.5366300366300365,0.5583054975767748
RMC_TERR,ES,0.0099873988455107,0.0217245655545016,0.5366300366300365,0.5583054975767748
RMC_TERR,FI,0.0093454621151015,0.040334296775252,0.5366300366300365,0.5583054975767748
RMC_TERR,FR,0.0077876158031041,0.0241605521803039,0.5366300366300365,0.5583054975767748
RMC_TERR,HR,-0.0149832303037645,-0.0016257853532976,0.5366300366300365,0.5583054975767748
RMC_TERR,HU,-0.0491898851244441,0.0019828200240636,0.5366300366300365,0.5583054975767748
RMC_TERR,IE,-0.0194939641948864,0.0137176631971316,0.5366300366300365,0.5583054975767748
RMC_TERR,IT,0.0209396675942874,0.0201469352993582,0.5366300366300365,0.5583054975767748
RMC_TERR,LT,-0.0320616733513436,0.0004127644641793,0.5366300366300365,0.5583054975767748
RMC_TERR,LU,0.0271455232076885,0.0500937266016787,0.5366300366300365,0.5583054975767748
RMC_TERR,LV,-0.0242726267245106,-0.0010007251665793,0.5366300366300365,0.5583054975767748
